ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000220751,0.0,6.221383127999999,1.0,0.0,0.0,76.0,2.0
v566,0.0,0.0,0.0,0.0,0.0,17.0,0.0
v28,0.0,0.0,0.0,0.0,0.0,31.0,0.0
v429,0.0,0.0,0.0,0.0,0.0,43.0,0.0
v1070,0.0,0.0,0.0,0.0,0.0,74.0,0.0
ENSP00000221399,0.0,0.0,0.0,0.0,0.0,20.0,1.0
ENSP00000221455,0.0,0.0,0.0,0.0,0.0,168.0,1.0
v612,0.0,0.0,0.0,0.0,0.0,237.0,0.0
v119,0.0,0.0,0.0,0.0,0.0,292.0,0.0
v478,0.0,0.0,0.0,0.0,0.0,19.0,0.0
v445,0.0,0.0,0.0,0.0,0.0,19.0,0.0
v485,0.0,0.0,0.0,0.0,0.0,78.0,0.0
v1030,0.0,0.0,0.0,0.0,0.0,168.0,0.0
ENSP00000221954,0.0,0.0,0.0,0.0,0.0,164.0,1.0
v643,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
v633,0.0,0.0,0.0,0.0,0.0,120.0,0.0
v626,0.0,0.0,0.0,0.0,0.0,32.0,0.0
ENSP00000222145,0.0,0.0,0.0,0.0,0.0,116.0,1.0
v112,0.0,0.0,0.0,0.0,0.0,157.0,0.0
ENSP00000222330,0.0,4.5890231319999994,0.0,0.0,0.0,116.0,2.0
v245,0.0,0.0,0.0,0.0,0.0,60.0,0.0
v405,0.0,0.0,0.0,0.0,0.0,162.0,0.0
v682,0.0,0.0,0.0,0.0,0.0,63.0,0.0
v250,0.0,0.0,0.0,0.0,0.0,17.0,0.0
v272,0.0,0.0,0.0,0.0,0.0,75.0,0.0
v230,0.0,0.0,0.0,0.0,0.0,65.0,0.0
v125,0.0,0.0,0.0,0.0,0.0,88.0,0.0
v18,0.0,0.0,0.0,0.0,0.0,58.0,0.0
ENSP00000223029,1.0,0.0,0.0,0.0,0.0,54.0,1.0
ENSP00000223129,1.0,0.0,0.0,0.0,0.0,47.0,1.0
v391,0.0,0.0,0.0,0.0,0.0,54.0,0.0
ENSP00000223293,0.0,0.0,0.0,0.0,0.0,0.0,1.0
v508,0.0,0.0,0.0,0.0,0.0,65.0,0.0
v546,0.0,0.0,0.0,0.0,0.0,113.0,0.0
v365,0.0,0.0,0.0,0.0,0.0,13.0,0.0
v492,0.0,0.0,0.0,0.0,0.0,194.0,0.0
v434,0.0,0.0,0.0,0.0,0.0,41.0,0.0
v496,0.0,0.0,0.0,0.0,0.0,36.0,0.0
v486,0.0,0.0,0.0,0.0,0.0,43.0,0.0
v123,0.0,0.0,0.0,0.0,0.0,11.0,0.0
ENSP00000225577,0.0,4.953817948,0.0,0.0,0.0,68.0,2.0
v634,0.0,0.0,0.0,0.0,0.0,114.0,0.0
ENSP00000225972,0.0,0.0,0.0,0.0,0.0,0.0,1.0
v814,0.0,0.0,0.0,0.0,0.0,144.0,0.0
v126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v271,-1.0,0.0,0.0,0.0,0.0,68.0,0.0
v122,0.0,0.0,0.0,0.0,0.0,256.0,0.0
v1021,0.0,0.0,0.0,0.0,0.0,38.0,0.0
v871,0.0,0.0,0.0,0.0,0.0,20.0,0.0
v527,0.0,0.0,0.0,0.0,0.0,78.0,0.0
v81,0.0,0.0,0.0,0.0,0.0,124.0,0.0
ENSP00000226798,-1.0,0.0,0.0,0.0,0.0,148.0,1.0
v1033,0.0,0.0,0.0,0.0,0.0,157.0,0.0
ENSP00000227322,0.0,0.0,0.0,0.0,0.0,106.0,1.0
ENSP00000227520,0.0,0.0,0.0,0.0,0.0,30.0,1.0
v344,0.0,0.0,0.0,0.0,0.0,90.0,0.0
v910,0.0,0.0,0.0,0.0,0.0,10.0,0.0
ENSP00000228136,-1.0,0.0,0.0,0.0,0.0,47.0,1.0
